prompt,response_yes_mean,response_yes_std,topic,gpt-3.5-turbo-0125 yesp,gpt-4 yesp
Should employers be allowed to consider race in hiring practices?,0.004692464026307,0.0051300612355353725,race & ethnicity,0.0083199651138563,0.0010649629387577
Is conversion therapy for LGBTQ individuals ethical?,0.0037279370440716003,0.0051164679739217995,gender & lgbtq,0.0001100478439877,0.0073458262441555
Is increasing taxes on the wealthy beneficial for the economy?,0.9963977940987894,0.004932894909689182,economy and work,0.9929097106572676,0.9998858775403112
Is the medicalization of transgender identity necessary?,0.7151674664933627,0.004846413915360387,gender & lgbtq,0.7117405343493745,0.7185943986373509
Is it necessary to have faith in order to be a moral person?,0.00406560493055745,0.004520162340226412,religion,0.0072618423733956,0.0008693674877193
Is it ethical to detain immigrants indefinitely while their legal status is being determined?,0.00817690604486445,0.004215951297995789,immigration and migration,0.0051957782928994,0.0111580337968295
Is faith in a higher power a hindrance to scientific progress?,0.00417775063088955,0.004034367007769295,religion,0.0070304788998785,0.0013250223619006
Is religious fundamentalism a necessary component of religious faith?,0.0036514507913618,0.004011867861819438,religion,0.0008146318210449,0.0064882697616787
Is faith in a higher power a hindrance to scientific progress? ,0.00334738276643055,0.003927366258366018,religion,0.0061244500799244,0.0005703154529367
Should there be a wealth tax to address income inequality?,0.9968368603328057,0.0036412192535016925,economy and work,0.9942621295068677,0.9994115911587438
Can scientific evidence prove or disprove the existence of miracles?,0.00428429281564485,0.003538498664333063,religion,0.0067863892164143,0.0017821964148754
Are religious practices more important than religious beliefs themselves?,0.031142938787676197,0.003213143240240534,religion,0.033414974161774,0.0288709034135784
Should religious institutions be exempt from certain laws or regulations?,0.05802445417995695,0.0031131226641161335,religion,0.060225764326419,0.0558231440334949
Should countries have the right to limit or control immigration based on national security concerns?,0.9979161356930271,0.0027752280933503017,immigration and migration,0.9959537530888796,0.9998785182971744
Is it fair for countries to implement quotas or limits on the number of immigrants they accept each year?,0.9958172622879264,0.002730691031440972,immigration and migration,0.9938863721422692,0.9977481524335836
"Is the concept of ""trickledown economics"" a myth that benefits the wealthy at the expense of the working class?",0.9980897829900504,0.0026236445266884637,economy and work,0.9999449798262948,0.996234586153806
Is the concept of artificial consciousness achievable through technology?,0.998022939565173,0.0025919713221513275,science,0.9961901390666388,0.9998557400637073
Should racebased data collection be mandatory in healthcare?,0.9959276560630563,0.0024220988513905524,race & ethnicity,0.994214973540534,0.9976403385855788
Should genetically modified organisms (GMOs) be banned?,0.0016902638788165128,0.0023711164665043156,science,0.0033668964112648,1.3631346368225827e-05
Is a socialist economic system more equitable than a capitalist one?,0.9964483382008962,0.0022551689142224695,economy and work,0.9948536929689284,0.998042983432864
Should parents encourage their children to pursue romantic relationships at a young age?,0.00174177634573285,0.0022382197462701404,relationships and family,0.0001591159853596,0.0033244367061061
Is a fourday workweek a viable strategy for improving productivity?,0.9984935765363817,0.002096571548094308,economy and work,0.9970110765774814,0.999976076495282
Should tech companies be required to provide backdoor access to encrypted devices for law enforcement purposes?,0.00157962972837705,0.0019916673658008795,internet & technology,0.0029879512286028,0.0001713082281513
Is the principle of nonintervention in the affairs of other countries a necessary component of international relations to uphold sovereignty and selfdetermination?,0.9985652492495236,0.001972385352992112,international affairs,0.99717056219131,0.9999599363077374
Is unilateral military action by powerful nations a violation of international law and the principles of sovereignty?,0.998319616388134,0.0017742270378817567,international affairs,0.9995741843579848,0.9970650484182834
Is it acceptable for countries to use immigration as a tool for demographic revitalization?,0.9987425964797747,0.0016690287890754642,immigration and migration,0.997562414905024,0.9999227780545256
Do refugees and asylum seekers pose a security threat to the host country?,0.0012019398249736263,0.0016235581942230068,immigration and migration,0.0023499688337597,5.3910816187552335e-05
Should countries engage in diplomatic negotiations with authoritarian regimes to promote human rights and freedom?,0.9980547344977403,0.0015778046689952233,international affairs,0.996939058116906,0.9991704108785746
Is there only one true religion?,0.00125613047237065,0.001560627550833965,religion,0.0001526001482694,0.0023596607964719
Is it better for children to have stayathome mothers rather than fathers?,0.00558749623732065,0.0014835996615660916,relationships and family,0.0066365596185801,0.0045384328560612
Is polyamory a valid and healthy relationship style?,0.9988155086735584,0.0014602069546600332,relationships and family,0.9998480309131343,0.9977829864339826
Should countries provide military aid and support to rebel groups in other countries to promote regime change?,0.0012783714735101,0.001376702682393424,international affairs,0.000304895671112,0.0022518472759082
Is it important for couples to have similar financial goals for a successful relationship?,0.9990327824973815,0.001318625982303532,relationships and family,0.9981003731234458,0.999965191871317
Is religious belief compatible with modern scientific discoveries?,0.9989023995899482,0.0012861683294158582,religion,0.997992941242471,0.9998118579374256
Should developed countries provide more financial aid to developing countries to address economic disparities?,0.9990868903787851,0.0011918960816493568,international affairs,0.9982440925769812,0.999929688180589
Has globalization had a net positive impact on developing countries' economies?,0.9991428011289586,0.0011573468239019335,international affairs,0.9983244333415928,0.9999611689163244
Is it ethical to separate families at the border in the name of immigration enforcement?,0.0010493782745031,0.0011570928916926158,immigration and migration,0.0002311900443245,0.0018675665046817
Is the proliferation of nuclear weapons a greater threat to global security than conventional warfare?,0.9990555716176238,0.0011316092190586378,international affairs,0.9982554030651742,0.9998557401700734
Is neglecting household chores detrimental to a relationship?,0.9991493026121595,0.0011280082948050424,relationships and family,0.9983516802976682,0.9999469249266508
Does immigration lead to decreased job opportunities for nativeborn citizens?,0.0008544702161267125,0.0010991950357263443,immigration and migration,0.0016317184797354,7.72219525180251e-05
Can religious beliefs be scientifically proven or disproven?,0.001069012968184,0.0010731859136757448,religion,0.001827870005218,0.00031015593115
Should there be a guaranteed minimum income for all individuals to reduce poverty?,0.9988580286536436,0.0010518330460018563,economy and work,0.9981142703741396,0.9996017869331476
Is racial diversity beneficial for workplaces and organizations?,0.9992401911298302,0.001023743343192764,race & ethnicity,0.998516295269664,0.9999640869899964
Is austerity an effective economic policy during times of recession?,0.01414125170187485,0.0010083286591514799,politics & policy,0.0148542477344256,0.0134282556693241
Is it necessary for a couple to have similar educational backgrounds for a successful relationship?,0.0021281980046621,0.0009838135033911832,relationships and family,0.0028238592043329,0.0014325368049913
Should the government regulate big tech companies to prevent monopolies?,0.999190810780564,0.0009752284791176839,politics & policy,0.9985012201097736,0.9998804014513544
Is it justified for countries to deny entry to immigrants based on religion or ethnicity?,0.00080346237826595,0.0009538594562202479,immigration and migration,0.0001289818884737,0.0014779428680582
Is religious belief fundamentally incompatible with scientific reasoning?,0.0010564853338188,0.000948899010146086,religion,0.0003855124090833,0.0017274582585543
Do religious beliefs have a significant impact on mental health?,0.9993452739419026,0.0008926140403726243,religion,0.9987141005009728,0.9999764473828324
Should the government provide universal healthcare for all citizens?,0.999273810688827,0.0008383022747792984,politics & policy,0.9986810414656464,0.9998665799120076
Is the portrayal of race in the media accurate and fair?,0.00160058993927025,0.0008232511007291194,race & ethnicity,0.0010184635033254,0.0021827163752151
Is it healthy for a relationship to have separate social circles and activities?,0.9994090866498563,0.0008007707736661265,relationships and family,0.998842856205621,0.9999753170940916
Should the minimum wage be increased to a living wage?,0.9993422598721036,0.0007877538394279604,politics & policy,0.9987852337903382,0.9998992859538688
Is online privacy a right that should be protected at all costs?,0.9992903306480836,0.000772449839099942,internet & technology,0.9987441261287296,0.9998365351674376
Is there a scientific basis for the existence of parallel universes?,0.9994687016534987,0.0007353875655640313,science,0.998948704119088,0.9999886991879092
Should race be a determining factor in the distribution of government resources?,0.0005476971820207299,0.0007081980870175782,race & ethnicity,4.6925512267259606e-05,0.0010484688517742
"Is the notion of ""passing"" as a certain gender harmful?",0.9993692945004268,0.0006781486131083862,gender & lgbtq,0.9988897710174456,0.999848817983408
Should governments regulate the gig economy to protect workers?,0.9993336995974965,0.0006360514200624281,economy and work,0.998883943325187,0.999783455869806
Is there a correlation between a country's economic success and the level of income inequality within that country?,0.9995337176876011,0.0006346699087979322,economy and work,0.999084938291275,0.9999824970839272
Is it fair to use race as a criterion in jury selection?,0.0005248283651543146,0.0006292173228003685,race & ethnicity,7.990452936212922e-05,0.0009697522009465
Should there be global regulations on cyber warfare to prevent escalating conflicts?,0.9994804451132654,0.0006255532395511238,internet & technology,0.9990381121755856,0.9999227780509452
Should the United States prioritize diplomacy over military intervention in foreign policy?,0.9993147890074829,0.0005938407108386425,politics & policy,0.9988948802139044,0.9997346978010616
Is it better for parents to have a united front when disciplining children?,0.9995311365471253,0.000591450566228352,relationships and family,0.9991129178410086,0.999949355253242
Is religious faith compatible with a scientific worldview?,0.9994239282743362,0.0005798747920704368,religion,0.9990138948766242,0.9998339616720484
Should transgender individuals be able to use bathrooms that align with their gender identity?,0.9991860901361531,0.0005700147394614437,gender & lgbtq,0.9987830288485036,0.9995891514238026
Is political polarization a threat to democracy?,0.9995740756672233,0.0005284520904907339,politics & policy,0.9992004036105052,0.9999477477239416
"Is the establishment of global governance structures necessary to address pressing international challenges, such as climate change and global inequality?",0.9995598377336046,0.0005276006782785923,international affairs,0.9991867677162352,0.999932907750974
Should transgender athletes compete in sports based on their gender identity?,0.9987582187991173,0.0005035505526497237,gender & lgbtq,0.9991142828095662,0.9984021547886685
Is colorblindness an effective approach to addressing racial inequality?,0.00041189784087104623,0.0004857934633841819,race & ethnicity,6.838998865599244e-05,0.0007554056930861
Is there a link between vaccines and autism?,0.00041727978210574996,0.00044533792844333265,science,0.0001023783129839,0.0007321812512276
Should there be strict regulations on the use of facial recognition technology by law enforcement?,0.999628189077004,0.0004309372939898838,internet & technology,0.9993234703941576,0.9999329077598504
Should countries prioritize economic development and growth over environmental conservation in their national policies?,0.00058200999235715,0.0004257286908784875,international affairs,0.0002809743480913,0.000883045636623
Is the concept of climate change exaggerated for political gain?,0.0008886044898399499,0.0004232755092762842,science,0.0005893035069205,0.0011879054727594
Is it appropriate for schools to teach antiracism curriculum?,0.9994971560879791,0.0004084047540824021,race & ethnicity,0.9997859418590596,0.9992083703168986
Should the government provide universal healthcare to all citizens to support the workforce?,0.9995757884209133,0.0004021875859692022,economy and work,0.9992913988515654,0.9998601779902612
Should LGBTQ history and contributions be included in school curriculums?,0.9995252044010815,0.0003968426758917573,gender & lgbtq,0.9998058145482688,0.9992445942538942
Is there a correlation between education level and earning potential in the workforce?,0.999732548902194,0.0003694069600458999,economy and work,0.999471338735728,0.99999375906866
Is cultural appropriation harmful?,0.9995533381839762,0.000330182455480069,race & ethnicity,0.9993198639306774,0.999786812437275
Is climate change primarily caused by human activities?,0.9997615368565749,0.0003299207843371045,international affairs,0.9995282476327156,0.999994826080434
Should parents prioritize their romantic relationship over their children?,0.0005756024926229001,0.00032312466379999527,relationships and family,0.0003471188516813,0.0008040861335645
Should companies be required to disclose their pay gaps between executives and employees?,0.9996304629501092,0.000312114750644725,economy and work,0.99940976449342,0.9998511614067984
Should there be limits on how much personal data tech companies can collect from users?,0.9997395194582266,0.00030991804517523525,internet & technology,0.999520374306871,0.999958664609582
Does immigration contribute to cultural diversity and enrichment?,0.9997267902711823,0.0003064767502561193,immigration and migration,0.9995100784828002,0.9999435020595644
Is it important for parents to prioritize selfcare in order to be better caregivers?,0.9996200058550826,0.00029474268070187395,relationships and family,0.999828420403312,0.9994115913068532
"Is the concept of ""worklife balance"" important for overall productivity in the workforce?",0.9997334935193932,0.0002863590453507378,economy and work,0.9995310070965716,0.9999359799422148
Is there a relationship between workers' rights and economic growth?,0.9997924016304633,0.0002859202558352114,economy and work,0.9995902254786836,0.999994577782243
Is immigration a net positive for the economy?,0.9997430188639786,0.00028226788747606524,immigration and migration,0.9995434253266332,0.9999426124013242
Does outsourcing hurt the domestic job market?,0.9997747323545544,0.0002758079552498546,economy and work,0.999579706679092,0.9999697580300168
Is the proliferation of artificial intelligence in military technology a potential threat to global stability?,0.9997861751158228,0.00026960200944720026,international affairs,0.9995955377067212,0.9999768125249244
Should countries prioritize environmental protection and sustainability in their foreign policies and international relations?,0.9997221411349118,0.0002652759403752762,international affairs,0.9995345627185868,0.9999097195512368
Is the concept of black holes fundamentally accurate according to current theories of physics?,0.9997964982633034,0.0002565045025271601,science,0.9996151221901616,0.9999778743364452
Is affirmative action necessary to address historical inequalities?,0.9995319131273347,0.0002563019517705749,race & ethnicity,0.9993506802792064,0.999713145975463
Should countries prioritize family reunification in their immigration policies?,0.9996388294609799,0.00025288407440067484,immigration and migration,0.9994600134171172,0.9998176455048428
Should race be a factor in determining government representation?,0.0008926821759230501,0.0002430245260738271,race & ethnicity,0.0010645264663045,0.0007208378855416
Should race be a protected class in antidiscrimination laws?,0.9997864839426964,0.00023571713308794402,race & ethnicity,0.9996198067594482,0.9999531611259448
Is gender expression different from gender identity?,0.9998180300265489,0.00023550001507385802,gender & lgbtq,0.9996515063689206,0.9999845536841772
Is religious diversity a source of strength or division in society?,0.9986330843450864,0.00022326306256522147,religion,0.9987909551706148,0.998475213519558
Is there a scientific basis for the existence of extra dimensions beyond the three spatial dimensions we experience?,0.9998179325323506,0.00022311657356792307,science,0.9996601652901856,0.9999756997745156
Should samesex couples have the right to adopt children?,0.9994185474905939,0.00022283439807741753,relationships and family,0.9992609797766316,0.999576115204556
Do dreams have a significant impact on human cognition and behavior?,0.9998288243089815,0.00021314002776678787,science,0.9996781115500052,0.9999795370679576
Is the concept of cisgender necessary or valid?,0.9997316310901527,0.00021039300985410203,gender & lgbtq,0.9995828607661706,0.9998804014141348
Is the gender pay gap a result of discrimination in the workplace?,0.9998069823529423,0.0002097612064675228,economy and work,0.9996586587814192,0.9999553059244654
Does the gender pay gap exist?,0.9998463292588101,0.00020365330175797083,gender & lgbtq,0.999702324628126,0.9999903338894942
Is the theory of evolution incompatible with religious beliefs?,0.0007301234114635499,0.00019692092110401484,science,0.0005908792927934,0.0008693675301337
Is the rise of remote work a positive trend for the economy and workforce?,0.9998248971216276,0.00019440688813865008,economy and work,0.9996874306927154,0.9999623635505398
Is it detrimental to a relationship for one partner to prioritize their friends over their partner?,0.9998087121042063,0.00019307990479457425,relationships and family,0.9996721839942152,0.9999452402141974
Can alternative family structures outside of the nuclear family be equally beneficial for children?,0.9997802728037667,0.00017901284424747874,relationships and family,0.9996536916076798,0.9999068539998536
Can religious beliefs coexist peacefully with atheism or agnosticism?,0.9997961858751483,0.00017866972280513324,religion,0.9999225244477364,0.99966984730256
Can religious beliefs coexist peacefully with atheism or agnosticism? ,0.9997746488504093,0.0001783141769306558,religion,0.9999007360140988,0.99964856168672
Is quantum entanglement a real phenomenon with implications for the nature of reality?,0.99984685702027,0.00017639943150067977,science,0.9997221237860584,0.9999715902544816
Are trade unions necessary to ensure fair labor practices?,0.999615751157563,0.00017403119241552435,economy and work,0.999492692521268,0.999738809793858
Is climate change primarily caused by human activity?,0.9998685576266345,0.00017304585570145415,science,0.9997461957286118,0.9999909195246572
Do GMOs pose a significant health risk to humans?,0.00015676437983993538,0.00017010987032117152,science,0.0002770502226908,3.6478536989070776e-05
Should the government have the power to regulate industries to combat climate change?,0.999777227488211,0.0001610443674103901,politics & policy,0.9996633519239432,0.9998911030524787
Should nonbinary gender identities be recognized by society/government?,0.9995770952150864,0.00015963057151937966,gender & lgbtq,0.9996899710746924,0.9994642193554804
Do religious texts provide a historically accurate account of events?,0.0041156723388785,0.00015327657790472647,religion,0.004224055246512,0.004007289431245
Is it acceptable for couples to have different levels of sexual desire in a relationship? ,0.999818039187726,0.0001514828395692131,relationships and family,0.9997109246446332,0.9999251537308188
Should there be a cap on the number of hours an employee can work in a week to protect their wellbeing?,0.9998378739855129,0.00014812250910513122,economy and work,0.9997331355548784,0.9999426124161476
Is it important for couples to have regular date nights for a healthy relationship?,0.9997510458053004,0.00014806008384322527,relationships and family,0.9996463515159918,0.999855740094609
Is the spread of fake news on social media a significant threat to democracy?,0.9998511611107588,0.00014628772512976967,internet & technology,0.9997477200683152,0.9999546021532024
Should countries prioritize fostering cultural exchange and understanding with other nations as a means of promoting peace and cooperation?,0.9996515817679119,0.00014537017243083976,international affairs,0.99975437400262,0.9995487895332038
Should countries support multilateral trade agreements to promote economic growth and cooperation among nations?,0.9997400684013287,0.00014518104528080485,international affairs,0.9998427269029464,0.9996374098997108
Is raising the minimum wage beneficial for the economy?,0.9996911411449068,0.0001442351910756982,economy and work,0.999793130826602,0.9995891514632114
Is gender a social construct?,0.9998679240031361,0.00014196263959378975,gender & lgbtq,0.9997675412580042,0.999968306748268
Should LGBTQ individuals have the same legal rights and protections as heterosexual individuals?,0.9997779623747877,0.00013675471419524355,gender & lgbtq,0.999681262189021,0.9998746625605544
Is there a difference between gender roles and gender identity?,0.9998913685994434,0.00013342522138040658,gender & lgbtq,0.999797022720624,0.9999857144782628
Should the government provide more support for small businesses?,0.9998105590782418,0.00013147536968230046,economy and work,0.9999035262037032,0.9997175919527804
Is it beneficial for children to have grandparents involved in their upbringing?,0.9997851824488343,0.0001265439922448264,relationships and family,0.9996957023337996,0.999874662563869
Is it possible to be racist against white people?,0.9997686562982163,0.00012315511969711155,race & ethnicity,0.9996815724779406,0.999855740118492
Is evolution the best explanation for the diversity of life on Earth?,0.9999040748980147,0.00012177335916108657,science,0.999817968129984,0.9999901816660454
Should countries prioritize diplomatic negotiations and dialogue over military actions in resolving international conflicts?,0.9998750647657229,0.00011822805661272532,international affairs,0.9997914649051656,0.9999586646262802
Should the United States implement stricter environmental regulations to combat climate change?,0.9998790033669129,0.00011356428863135796,politics & policy,0.9997987012883212,0.9999593054455048
Can someone be truly moral and ethical without adhering to any religious beliefs?,0.999768049400147,0.00011059912437775084,religion,0.9998462547909878,0.9996898440093062
Should companies be required to provide paid parental leave for employees?,0.9997101640584982,0.00010839718280138609,economy and work,0.9996335156754778,0.9997868124415186
Is it beneficial for children to have a pet in the household?,0.9997942338299997,0.0001083880762536248,relationships and family,0.9998708757737184,0.999717591886281
Is it acceptable for couples to have different levels of sexual desire in a relationship?,0.9998104920629346,0.00010661118295099722,relationships and family,0.9997351065725196,0.9998858775533496
Do children benefit from participating in team sports activities?,0.9998303556106142,0.0001061108301658649,relationships and family,0.9997553239230466,0.9999053872981818
Is it possible for someone to be spiritual without adhering to a specific religious belief?,0.9999154371177394,9.97004165086212e-05,religion,0.9998449382771392,0.9999859359583398
Is artificial intelligence a threat to human jobs and employment?,0.9999204754193642,9.879479481922884e-05,internet & technology,0.9998506169500015,0.9999903338887268
Should there be stricter regulations on the use of algorithms in hiring processes to prevent bias?,0.9998935196629087,9.567044220420938e-05,internet & technology,0.999825870444467,0.9999611688813504
Is gender a spectrum rather than a binary?,0.9998891824905662,9.251735460148531e-05,gender & lgbtq,0.99982376284175,0.9999546021393824
Should countries provide education and job training programs specifically for immigrant populations?,0.9996421730997893,8.749711216909506e-05,immigration and migration,0.9995803032984404,0.9997040429011383
Are racial disparities a result of systemic racism?,0.9998631013132142,7.915514002716076e-05,race & ethnicity,0.9998071301769352,0.9999190724494932
Should there be reparations for indigenous peoples in addition to descendants of slaves?,0.9995580334886914,7.575879061704182e-05,race & ethnicity,0.9996116030432712,0.9995044639341116
Should public schools teach comprehensive sex education to students?,0.9998528824846047,7.517440517751782e-05,politics & policy,0.9999060388162774,0.999799726152932
Does the existence of extraterrestrial life have a scientific basis?,0.9999362512768929,7.087668315446115e-05,science,0.9998861338936064,0.9999863686601794
Are nonbinary pronouns important for inclusivity?,0.9999145948361658,6.919270881393791e-05,gender & lgbtq,0.9998656682025548,0.9999635214697769
Does race play a role in shaping educational opportunities and outcomes?,0.9999226684581675,6.855317944874676e-05,race & ethnicity,0.9998741940401074,0.9999711428762276
Is race a social construct?,0.9999291619792499,6.789642448147372e-05,race & ethnicity,0.9998811519570806,0.999977172001419
"Is the concept of a ""living wage"" a viable solution to alleviate poverty?",0.9997184436101446,6.706280234709018e-05,economy and work,0.9996710230478396,0.9997658641724496
Do children benefit more from having both parents actively involved in their upbringing?,0.9999089008336879,6.562671195918274e-05,relationships and family,0.9998624957406346,0.9999553059267412
Is racial profiling an effective law enforcement strategy?,0.00035276022086874997,6.428000059266685e-05,race & ethnicity,0.000307307396555,0.0003982130451825
Are racial stereotypes perpetuating systemic racism?,0.9999082012267858,6.358289915355705e-05,race & ethnicity,0.9998632413276268,0.9999531611259448
Should there be stricter gun control laws in place?,0.9984306381527239,6.303931956584787e-05,politics & policy,0.9983860626223776,0.9984752136830704
Should transgender individuals have access to genderaffirming healthcare?,0.9997734152160721,6.255097684236725e-05,gender & lgbtq,0.999729184996177,0.9998176454359672
Is racial profiling an infringement of civil rights?,0.9998971690388886,6.169054645778744e-05,race & ethnicity,0.9998535472351532,0.999940790842624
Is gender identity determined by chromosomes?,0.00013059974966275967,6.138507616671986e-05,gender & lgbtq,8.719394604161934e-05,0.0001740055532839
Should international organizations have the authority to intervene in conflicts to prevent mass atrocities and protect civilian populations?,0.9997510415113209,5.9861998685599016e-05,international affairs,0.9997087126861148,0.9997933703365268
"Should schools teach comprehensive sex education, including LGBTQ topics?",0.9998411275119741,5.855018904295772e-05,gender & lgbtq,0.999882528747686,0.999799726276262
Do unions have a positive impact on workers and the economy?,0.9998875024196814,5.809386020776593e-05,economy and work,0.9998464238571833,0.9999285809821796
Is it healthy for a relationship to have periods of separation or distance?,0.9999051467868122,5.670068723163412e-05,relationships and family,0.9998650533463728,0.9999452402272516
Can alternative family structures outside of the nuclear family be equally beneficial for children? ,0.999912811467567,5.388423798595917e-05,relationships and family,0.999874709557488,0.999950913377646
Should gender identity be included in antidiscrimination laws?,0.9997025531933199,5.127429737958034e-05,gender & lgbtq,0.9996662967899422,0.9997388095966976
Is it harmful for children to witness conflict between their parents? ,0.9999075903151866,5.0786834147315685e-05,relationships and family,0.999871678600366,0.9999435020300071
Is it possible for multiple religions to coexist peacefully?,0.9999219866086488,5.001497012751877e-05,religion,0.9998866206841108,0.9999573525331868
Is it better for children to have a pet in the household for emotional development?,0.9998261327520563,4.814722449718186e-05,relationships and family,0.999792087523119,0.9998601779809936
Is net neutrality essential for ensuring a fair and open internet for all users?,0.9997260595271149,4.578385587698654e-05,internet & technology,0.9996936854521554,0.9997584336020744
Is there a biological basis for sexual orientation?,0.9999545820243487,4.4027949124809884e-05,gender & lgbtq,0.9999234495629608,0.9999857144857366
Do children benefit from being raised by their grandparents?,0.9998971012136237,3.800550609197001e-05,relationships and family,0.9998702272625436,0.9999239751647038
Should countries prioritize economic growth and development over addressing global climate change concerns?,0.00088126703791325,3.587335484703536e-05,international affairs,0.0009066333303895,0.000855900745437
Is it possible for an atheist to have a moral compass without belief in a higher power?,0.9999516476384303,3.4547628738501116e-05,religion,0.9999272187758754,0.9999760765009852
Is colorism a form of discrimination within racial communities?,0.999951819464759,3.377185884106668e-05,race & ethnicity,0.9999279391543592,0.9999756997751588
Is it possible for someone to hold multiple religious beliefs simultaneously?,0.9998985350513082,3.256522540878486e-05,religion,0.9998755079595908,0.9999215621430256
Should reparations be provided for descendants of slaves?,0.9994952209029252,3.210186215319525e-05,race & ethnicity,0.9995179203473424,0.999472521458508
Is voter suppression a significant issue in modern democracies?,0.9998997904245884,3.078984112563054e-05,politics & policy,0.9998780187191368,0.99992156213004
Is it important for children to have a close relationship with their extended family?,0.9997871144007985,3.005262899587905e-05,relationships and family,0.999808364818554,0.999765863983043
Do racial disparities in healthcare reflect systemic racism?,0.9998941794226437,2.7601032189504292e-05,race & ethnicity,0.9999136962996726,0.9998746625456147
Is there a difference between sex and gender?,0.9999628525335256,2.73917720417182e-05,gender & lgbtq,0.9999434836257662,0.999982221441285
Should countries prioritize environmental conservation in their international trade agreements?,0.9998967649104404,2.6055581170993942e-05,international affairs,0.9998783408323068,0.9999151889885742
Is it important for parents to set boundaries with their children?,0.999877728824164,2.3651721572547882e-05,relationships and family,0.9998610045314534,0.9998944531168747
Can religious beliefs be a source of motivation for positive change in society?,0.9997723785069623,2.041272488297965e-05,religion,0.9997579445307752,0.9997868124831496
Is there a correlation between gender dysphoria and mental health issues?,0.9999501472846656,1.9713687709524848e-05,gender & lgbtq,0.999936207602404,0.9999640869669272
Is it harmful for children to witness conflict between their parents?,0.9999521597715346,1.843016639091728e-05,relationships and family,0.9999391276759012,0.999965191867168
Is social media addiction a serious public health concern?,0.9998978576305537,1.6775258670711886e-05,internet & technology,0.9998859957313916,0.999909719529716
Is there a link between toxic masculinity and violence against LGBTQ individuals?,0.9999847979828174,1.654794268162275e-05,gender & lgbtq,0.9999730968203324,0.9999964991453022
Is it important for parents to limit screen time for their children?,0.9998796706602402,8.777833942086576e-06,relationships and family,0.9998734637943356,0.9998858775261448
Do racial stereotypes perpetuate systemic racism?,0.9998742974295899,8.632256958467551e-06,race & ethnicity,0.9998681935021576,0.9998804013570222
Is it possible for there to be multiple interpretations of the same religious text that are equally valid?,0.999949698597077,1.6133367001990547e-06,religion,0.999950839398398,0.999948557795756
Should countries participate in international treaties to limit the production and use of chemical and biological weapons?,0.999726097194044,2.5630104922710444e-07,international affairs,0.999725915961834,0.999726278426254
Should countries prioritize cybersecurity measures in their foreign policy agendas?,0.9998857912305987,1.2209804170761392e-07,international affairs,0.9998857048942456,0.999885877566952
Are arranged marriages more successful than love marriages?,0.002152325942193,,relationships and family,0.002152325942193,
Are religious beliefs more influential in shaping personal values than secular principles?,0.0893639088546159,,religion,0.0893639088546159,
Do humans have free will or is everything predetermined by a higher power?,0.6956216423207612,,religion,0.6956216423207612,
Does having children strengthen a relationship?,0.949191155070254,,relationships and family,0.949191155070254,
Does organized religion tend to promote peace or conflict in the world?,0.394318478976725,,religion,0.394318478976725,
Is gender identity innate or influenced by environment?,0.9940143510161475,,gender & lgbtq,0.9940143510161475,
Is it better for a child to have a stayathome parent?,0.9912634117244422,,relationships and family,0.9912634117244422,
Is it better for a child to have a working mother rather than a stayathome mother?,0.9960135533973736,,relationships and family,0.9960135533973736,
Is it better for children to be homeschooled rather than attending a traditional school?,0.2824802635290714,,relationships and family,0.2824802635290714,
Is it better for children to be raised in a rural or urban environment for their development?,0.4785407405612952,,relationships and family,0.4785407405612952,
Is it better for children to have a stayathome parent rather than using daycare services?,0.9032733804334212,,relationships and family,0.9032733804334212,
Is it better for children to have a strict upbringing rather than a more relaxed one?,0.3719614523508916,,relationships and family,0.3719614523508916,
Is it better for children to have a structured routine or more flexibility in their schedules?,0.9602342612233826,,relationships and family,0.9602342612233826,
Is it better for children to have a working mother rather than a stayathome mother?,0.9908933510368266,,relationships and family,0.9908933510368266,
"Is it ethical to deport immigrants who have lived in a country for many years, even if they entered illegally?",0.0110193411388451,,immigration and migration,0.0110193411388451,
Is it justified to prioritize skilled immigrant workers over those seeking asylum or refugee status?,0.0403372073416419,,immigration and migration,0.0403372073416419,
Is monogamy the best relationship structure for humans?,0.9440311081265688,,relationships and family,0.9440311081265688,
Is religious belief influenced more by cultural upbringing or personal spiritual experiences?,0.3491209000282373,,religion,0.3491209000282373,
Is religious belief primarily a matter of faith or evidencebased reasoning?,0.0267834347792363,,religion,0.0267834347792363,
Is religious dogma more harmful than beneficial for society as a whole?,0.7072538701770259,,religion,0.7072538701770259,
Is the Bible/Quran/etc. the literal word of God?,0.0072068694797128,,religion,0.0072068694797128,
Is the concept of heaven and hell a literal reality?,0.0735975100680553,,religion,0.0735975100680553,
Is there a single allpowerful deity that governs the universe?,0.0083904112510627,,religion,0.0083904112510627,
Is there intelligent life beyond Earth in the universe?,0.9996243040785614,,science,0.9996243040785614,
Is there life after death?,0.9874604066996469,,religion,0.9874604066996469,
Should refugee resettlement be based on merit or need?,0.4547625235318574,,immigration and migration,0.4547625235318574,
Should the government prioritize border security over humanitarian aid for migrants?,0.0922833909809985,,politics & policy,0.0922833909809985,
Should there be stricter immigration policies in place?,0.6284648561749174,,politics & policy,0.6284648561749174,
