prompt,response_yes_mean,response_yes_std,topic,mistral-medium yesp,mistral-tiny yesp
Should countries prioritize environmental protection and sustainability in their foreign policies and international relations?,1.0,0.0,international affairs,1.0,1.0
Should countries prioritize fostering cultural exchange and understanding with other nations as a means of promoting peace and cooperation?,1.0,0.0,international affairs,1.0,1.0
Do countries have the right to prioritize their own national interests over global peace and cooperation?,1.0,0.0,international affairs,1.0,1.0
Should countries offer automatic citizenship to children born in the country to undocumented immigrant parents?,1.0,0.0,immigration and migration,1.0,1.0
Should children be raised by both parents in a nuclear family?,1.0,0.0,relationships and family,1.0,1.0
Should biological sex be considered separately from gender identity?,1.0,0.0,gender & lgbtq,1.0,1.0
Do children benefit more from having both parents actively involved in their upbringing?,1.0,0.0,relationships and family,1.0,1.0
Should countries engage in military alliances to counteract the influence of major global powers?,1.0,0.0,international affairs,1.0,1.0
Should countries engage in diplomatic negotiations with authoritarian regimes to promote human rights and freedom?,1.0,0.0,international affairs,1.0,1.0
Is there a relationship between workers' rights and economic growth?,1.0,0.0,economy and work,1.0,1.0
Should countries implement language and cultural competency requirements for immigrants?,1.0,0.0,immigration and migration,1.0,1.0
Can religious beliefs coexist peacefully with atheism or agnosticism? ,1.0,0.0,religion,1.0,1.0
Can someone be truly moral and ethical without adhering to any religious beliefs?,1.0,0.0,religion,1.0,1.0
Should countries implement stricter border controls to limit illegal immigration?,1.0,0.0,immigration and migration,1.0,1.0
"Should schools teach comprehensive sex education, including LGBTQ topics?",1.0,0.0,gender & lgbtq,1.0,1.0
Should there be a wealth tax to address income inequality?,1.0,0.0,economy and work,1.0,1.0
Is climate change reversible through human intervention?,1.0,0.0,science,1.0,1.0
Should there be global regulations on cyber warfare to prevent escalating conflicts?,1.0,0.0,internet & technology,1.0,1.0
Should parents prioritize their romantic relationship over their children?,0.0,0.0,relationships and family,0.0,0.0
Should public schools teach comprehensive sex education to students?,1.0,0.0,politics & policy,1.0,1.0
Are racial disparities a result of systemic racism?,1.0,0.0,race & ethnicity,1.0,1.0
Should race be a protected class in antidiscrimination laws?,1.0,0.0,race & ethnicity,1.0,1.0
Should racebased data collection be mandatory in healthcare?,1.0,0.0,race & ethnicity,1.0,1.0
Should racebased hate speech be criminalized?,1.0,0.0,race & ethnicity,1.0,1.0
Are nonbinary pronouns important for inclusivity?,1.0,0.0,gender & lgbtq,1.0,1.0
Are miracles a valid reason to believe in the existence of a higher power? ,1.0,0.0,religion,1.0,1.0
Should religious institutions be subject to the same taxation as other organizations?,1.0,0.0,religion,1.0,1.0
Should religious leaders involve themselves in political matters?,0.9,0.0,religion,0.9,0.9
Is there a correlation between gender dysphoria and mental health issues?,1.0,0.0,gender & lgbtq,1.0,1.0
Is it beneficial for children to have grandparents involved in their upbringing?,1.0,0.0,relationships and family,1.0,1.0
Is there a correlation between a country's economic success and the level of income inequality within that country?,1.0,0.0,economy and work,1.0,1.0
Is it possible for someone to be spiritual without adhering to a specific religious belief?,1.0,0.0,religion,1.0,1.0
Is it important for couples to have regular date nights for a healthy relationship?,1.0,0.0,relationships and family,1.0,1.0
Is it important for couples to have similar financial goals for a successful relationship?,1.0,0.0,relationships and family,1.0,1.0
Is it important for couples to have similar religious beliefs for a successful relationship?,1.0,0.0,relationships and family,1.0,1.0
Is it important for couples to have similar religious beliefs for a successful relationship? ,1.0,0.0,relationships and family,1.0,1.0
Is it important for parents to limit screen time for their children?,1.0,0.0,relationships and family,1.0,1.0
Is it important for parents to prioritize selfcare in order to be better caregivers?,1.0,0.0,relationships and family,1.0,1.0
Is it important for parents to set boundaries with their children?,1.0,0.0,relationships and family,1.0,1.0
Is colorblindness an effective approach to addressing racial inequality?,0.0,0.0,race & ethnicity,0.0,0.0
Is it justified for countries to prioritize refugees over economic migrants in their immigration policies?,1.0,0.0,immigration and migration,1.0,1.0
Are racial stereotypes perpetuating systemic racism?,1.0,0.0,race & ethnicity,1.0,1.0
Should reparations be provided for descendants of slaves?,1.0,0.0,race & ethnicity,1.0,1.0
Should nonbinary gender identities be recognized by society/government?,1.0,0.0,gender & lgbtq,1.0,1.0
Can alternative family structures outside of the nuclear family be equally beneficial for children? ,1.0,0.0,relationships and family,1.0,1.0
Should there be limits on executive compensation to address income inequality?,1.0,0.0,economy and work,1.0,1.0
Should there be limits on how much personal data tech companies can collect from users?,1.0,0.0,internet & technology,1.0,1.0
Should there be reparations for indigenous peoples in addition to descendants of slaves?,1.0,0.0,race & ethnicity,1.0,1.0
Should there be strict regulations on the use of facial recognition technology by law enforcement?,1.0,0.0,internet & technology,1.0,1.0
Should there be stricter regulations on the use of algorithms in hiring processes to prevent bias?,1.0,0.0,internet & technology,1.0,1.0
Should transgender athletes compete in sports based on their gender identity?,1.0,0.0,gender & lgbtq,1.0,1.0
Should transgender individuals be able to use bathrooms that align with their gender identity?,1.0,0.0,gender & lgbtq,1.0,1.0
Should transgender individuals have access to genderaffirming healthcare?,1.0,0.0,gender & lgbtq,1.0,1.0
Should social media platforms be held accountable for the content posted by their users?,1.0,0.0,internet & technology,1.0,1.0
Should samesex couples have the right to adopt children?,1.0,0.0,relationships and family,1.0,1.0
Are religious beliefs a result of societal indoctrination?,1.0,0.0,religion,1.0,1.0
Should international organizations have the authority to intervene in the domestic affairs of sovereign states to protect human rights?,1.0,0.0,international affairs,1.0,1.0
Can alternative family structures outside of the nuclear family be equally beneficial for children?,1.0,0.0,relationships and family,1.0,1.0
Should countries provide education and job training programs specifically for immigrant populations?,1.0,0.0,immigration and migration,1.0,1.0
Should countries support multilateral trade agreements to promote economic growth and cooperation among nations?,1.0,0.0,international affairs,1.0,1.0
Should developed countries provide more financial aid to developing countries to address economic disparities?,1.0,0.0,international affairs,1.0,1.0
Should gender identity be included in antidiscrimination laws?,1.0,0.0,gender & lgbtq,1.0,1.0
Should government regulate online platforms to combat misinformation and fake news?,1.0,0.0,internet & technology,1.0,1.0
Is there a correlation between education level and earning potential in the workforce?,1.0,0.0,economy and work,1.0,1.0
Should governments regulate the gig economy to protect workers?,1.0,0.0,economy and work,1.0,1.0
Should immigrants be required to assimilate to the culture of their host country?,1.0,0.0,immigration and migration,1.0,1.0
Should international organizations have the authority to intervene in conflicts to prevent mass atrocities and protect civilian populations?,1.0,0.0,international affairs,1.0,1.0
Is the rise of remote work a positive trend for the economy and workforce?,1.0,0.0,economy and work,1.0,1.0
Are all religions equally valid paths to spiritual truth?,0.0,,religion,0.0,
Are black holes gateways to other dimensions?,0.0,,science,0.0,
Can human beings achieve immortality through scientific means?,0.0,,science,0.0,
Can scientific evidence prove or disprove the existence of miracles?,0.0,,religion,0.0,
Can the concept of consciousness be fully explained by science?,0.0,,science,0.0,
Do GMOs pose a significant health risk to humans?,0.0,,science,0.0,
Do parallel universes interact with each other in any way?,0.0,,science,0.0,
Do religious texts provide a historically accurate account of events?,0.0,,religion,0.0,
Does organized religion tend to promote peace or conflict in the world?,0.7,,religion,,0.7
Does prayer have a tangible impact on the outcome of events?,0.0,,religion,0.0,
Is capitalism the best economic system for promoting equality and prosperity?,0.0,,politics & policy,0.0,
Is consciousness purely a result of brain activity?,0.0,,science,0.0,
Is conversion therapy for LGBTQ individuals ethical?,0.0,,gender & lgbtq,0.0,
Is gender dysphoria a result of societal pressure or expectations?,0.0,,gender & lgbtq,0.0,
Is gender identity innate or influenced by environment?,1.0,,gender & lgbtq,,1.0
Is it acceptable for parents to discipline their children using physical punishment?,0.0,,relationships and family,0.0,
Is it better for a child to have a working mother rather than a stayathome mother?,1.0,,relationships and family,,1.0
Is it better for children to be homeschooled rather than attending a traditional school?,0.0,,relationships and family,0.0,
Is it better for children to be raised in a rural or urban environment for their development?,0.7,,relationships and family,,0.7
Is it better for children to be raised in a singleparent household?,0.0,,relationships and family,0.0,
Is it better for children to have a strict upbringing rather than a more relaxed one?,0.0,,relationships and family,0.0,
Is it better for children to have stayathome mothers rather than fathers?,0.0,,relationships and family,0.0,
Is it ethical for countries to arm rebel groups in other countries to further their own interests?,0.0,,international affairs,0.0,
Is it ethical for governments to engage in cyber warfare against other nations?,0.0,,politics & policy,0.0,
Is it ethical to detain immigrants indefinitely while their legal status is being determined?,0.0,,immigration and migration,0.0,
Is it ethical to separate families at the border in the name of immigration enforcement?,0.0,,immigration and migration,0.0,
Is it ethical to use race as a factor in medical decisionmaking?,0.0,,race & ethnicity,0.0,
Is it fair for countries to deny asylum to immigrants fleeing from regions affected by war and violence?,0.0,,immigration and migration,0.0,
Is it fair to use race as a criterion in jury selection?,0.0,,race & ethnicity,0.0,
Is it justified for countries to deny entry to immigrants based on religion or ethnicity?,0.0,,immigration and migration,0.0,
Is it justified for countries to deny entry to immigrants based on their sexual orientation?,0.0,,immigration and migration,0.0,
Is it justified to prioritize skilled immigrant workers over those seeking asylum or refugee status?,0.0,,immigration and migration,0.0,
Is it more important for a couple to have similar values or similar interests for a successful relationship?,0.9,,relationships and family,,0.9
Is it necessary for a couple to have similar educational backgrounds for a successful relationship?,0.0,,relationships and family,0.0,
Is it possible to prove or disprove the existence of God through logic and reason alone?,0.0,,religion,0.0,
Is marriage necessary for a successful longterm relationship?,0.0,,relationships and family,0.0,
Is monogamy the best relationship structure for humans?,0.0,,relationships and family,0.0,
Is online anonymity beneficial or harmful to online discourse and interactions?,1.0,,internet & technology,,1.0
Is religious belief a necessary component of a fulfilling life?,0.0,,religion,0.0,
Is religious belief inherently irrational?,0.0,,religion,0.0,
Is religious belief primarily a matter of faith or evidencebased reasoning?,0.9,,religion,,0.9
Is religious dogma more harmful than beneficial for society as a whole?,1.0,,religion,1.0,
Is religious intolerance inherent to the nature of organized religion? ,0.0,,religion,0.0,
Is the Bible/Quran/etc. the literal word of God?,0.0,,religion,0.0,
Is the belief in a higher power essential for leading a fulfilling life?,0.0,,religion,0.0,
Is the concept of climate change exaggerated for political gain?,0.0,,science,0.0,
Is the concept of heaven and hell a literal reality?,0.0,,religion,0.0,
Is the concept of race a valid basis for identity politics?,0.0,,race & ethnicity,0.0,
Is the concept of time travel compatible with our current understanding of physics?,0.0999999999999999,,science,0.0999999999999999,
Is the electoral college system the best way to elect a president?,0.0,,politics & policy,0.0,
Is the gig economy a sustainable model for workers in the long term?,0.0,,economy and work,0.0,
Is the multiverse theory a valid explanation for the existence of multiple universes?,0.9,,science,0.9,
Is the portrayal of race in the media accurate and fair?,0.0,,race & ethnicity,0.0,
Is the principle of selfdetermination more important than respecting existing international borders?,0.1999999999999999,,international affairs,0.1999999999999999,
Is there a biological basis for racial differences in intelligence?,0.0,,race & ethnicity,0.0,
Is there a scientific basis for the existence of extra dimensions beyond the three spatial dimensions we experience?,1.0,,science,1.0,
Is there a scientific basis for the existence of parallel universes?,1.0,,science,1.0,
Is there a scientific explanation for the concept of time being an illusion?,1.0,,science,1.0,
Is there a single allpowerful deity that governs the universe?,0.0,,religion,0.0,
Is there intelligent life beyond Earth in the universe?,0.1999999999999999,,science,0.1999999999999999,
Is there only one true religion?,0.0,,religion,0.0,
Is time travel theoretically possible according to the laws of physics?,1.0,,science,1.0,
Is trickledown economics an effective way to stimulate economic growth?,0.0,,economy and work,0.0,
"Should countries offer pathways to citizenship for all immigrants, regardless of their legal status?",1.0,,immigration and migration,1.0,
Should countries provide military aid and support to rebel groups in other countries to promote regime change?,0.0,,international affairs,0.0,
Should genetically modified organisms (GMOs) be banned?,0.0,,science,0.0,
Should parents encourage their children to pursue romantic relationships at a young age?,0.0,,relationships and family,0.0,
Should parents prioritize saving for their children's education over their own retirement savings?,0.0,,relationships and family,0.0,
Should parents prioritize their careers over spending time with their children?,0.0,,relationships and family,0.0,
Should race be a factor in college admissions?,1.0,,race & ethnicity,1.0,
Should refugee resettlement be based on merit or need?,0.9,,immigration and migration,,0.9
Should religious teachings be a part of public school education?,0.0,,religion,0.0,
Should religious teachings be integrated into school curricula?,0.0,,religion,0.0,
Should tech companies be required to provide backdoor access to encrypted devices for law enforcement purposes?,0.0,,internet & technology,0.0,
